block_number,date,days_ago,borrow_rate
24519664,2025-01-02,6,7.2615352228704
24822064,2025-01-09,13,7.1734673761488
25124464,2025-01-16,20,4.936599223991999
25426864,2025-01-23,27,6.072426558288
25729264,2025-01-30,34,5.4759400657344
26031664,2025-02-06,41,5.287984222219199
26334064,2025-02-13,48,6.859824473505601
26636464,2025-02-20,55,10.050946760016
26938864,2025-02-27,62,7.250348151691199
27241264,2025-03-06,69,5.841311828688
27543664,2025-03-13,76,5.346724777847999
27846064,2025-03-20,83,5.0785837788672
28148464,2025-03-27,90,4.992208576488
